LATITUDE,LONGITUDE,YEAR,OND_SUM
8.5,77.0,1901,604.1707691699266
8.5,77.0,1902,710.4129376336932
8.5,77.0,1903,420.6024982780218
8.5,77.0,1904,338.6563086360693
8.5,77.0,1905,538.4518403410912
8.5,77.0,1906,806.7887512147427
8.5,77.0,1907,618.4747741520405
8.5,77.0,1908,459.25350522994995
8.5,77.0,1909,378.16394428908825
8.5,77.0,1910,582.9873147904873
8.5,77.0,1911,633.4448462873697
8.5,77.0,1912,811.0051464661956
8.5,77.0,1913,791.8738923668861
8.5,77.0,1914,670.936913639307
8.5,77.0,1915,459.3532297462225
8.5,77.0,1916,399.54859810322523
8.5,77.0,1917,511.31171199679375
8.5,77.0,1918,666.3465869575739
8.5,77.0,1919,537.7862984836102
8.5,77.0,1920,872.1183065697551
8.5,77.0,1921,684.8802378624678
8.5,77.0,1922,813.9616388082504
8.5,77.0,1923,616.6700870096684
8.5,77.0,1924,592.5845540910959
8.5,77.0,1925,1015.9843434095383
8.5,77.0,1926,309.1673796325922
8.5,77.0,1927,345.7769692540169
8.5,77.0,1928,703.1379799842834
8.5,77.0,1929,571.4771460294724
8.5,77.0,1930,728.8561193943024
8.5,77.0,1931,582.0161856710911
8.5,77.0,1932,924.7466128095984
8.5,77.0,1933,636.5878230631351
8.5,77.0,1934,407.73927833139896
8.5,77.0,1935,850.4512990564108
8.5,77.0,1936,561.8805565834045
8.5,77.0,1937,600.9578680172563
8.5,77.0,1938,227.89167326688766
8.5,77.0,1939,832.669984139502
8.5,77.0,1940,848.3135930746794
8.5,77.0,1941,538.4059830009937
8.5,77.0,1942,683.1723848283291
8.5,77.0,1943,949.3430179581046
8.5,77.0,1944,828.5981999635696
8.5,77.0,1945,906.0729395747185
8.5,77.0,1946,1008.1936880499125
8.5,77.0,1947,245.7779686897993
8.5,77.0,1948,524.4822610095143
8.5,77.0,1949,197.51680046319962
8.5,77.0,1950,331.189052850008
8.5,77.0,1951,579.3181143701077
8.5,77.0,1952,507.4079111814499
8.5,77.0,1953,625.2526741921902
8.5,77.0,1954,634.7061283290386
8.5,77.0,1955,595.0129571855068
8.5,77.0,1956,374.12726294994354
8.5,77.0,1957,531.6514413207769
8.5,77.0,1958,362.21853537112474
8.5,77.0,1959,441.89266207814217
8.5,77.0,1960,693.0135895907879
8.5,77.0,1961,287.2693182229996
8.5,77.0,1962,557.3186771869659
8.5,77.0,1963,448.36539247632027
8.5,77.0,1964,593.686739243567
8.5,77.0,1965,812.8185738325119
