LATITUDE,LONGITUDE,YEAR,JJAS_SUM
8.5,77.25,2022,298.6502202004194
8.5,77.25,2023,286.58149966597557
8.75,76.75,1901,1163.9744085595012
8.75,76.75,1902,1190.922928094864
8.75,76.75,1903,1211.3427710533142
8.75,76.75,1904,1751.9483124911785
8.75,76.75,1905,940.429411098361
8.75,76.75,1906,852.8528546392918
8.75,76.75,1907,1459.0267772227526
8.75,76.75,1908,785.34621784091
8.75,76.75,1909,823.4959907829762
8.75,76.75,1910,1009.639728397131
8.75,76.75,1911,940.0851984322071
8.75,76.75,1912,1435.551157772541
8.75,76.75,1913,882.7522591948509
8.75,76.75,1914,1104.9719920754433
8.75,76.75,1915,1373.982712239027
8.75,76.75,1916,1109.285462975502
8.75,76.75,1917,1042.9053549245
8.75,76.75,1918,672.1413910984993
8.75,76.75,1919,1234.5508658960462
8.75,76.75,1920,1524.6507825106382
8.75,76.75,1921,869.5864689648151
8.75,76.75,1922,1095.0477243959904
8.75,76.75,1923,1653.1955270320177
8.75,76.75,1924,2171.202738210559
8.75,76.75,1925,1059.4094021320343
8.75,76.75,1926,1268.4584870934486
8.75,76.75,1927,1084.727377049625
8.75,76.75,1928,702.9782477319241
8.75,76.75,1929,1355.5276738256216
8.75,76.75,1930,932.3227632343769
8.75,76.75,1931,1413.4503919556737
8.75,76.75,1932,885.6412947922945
8.75,76.75,1933,1510.4424042701721
8.75,76.75,1934,869.9695672690868
8.75,76.75,1935,824.480686083436
8.75,76.75,1936,919.6891928166151
8.75,76.75,1937,727.5711410716176
8.75,76.75,1938,757.6204395741224
8.75,76.75,1939,981.4376722797751
8.75,76.75,1940,1386.3913856893778
8.75,76.75,1941,1238.9622110947967
8.75,76.75,1942,1027.8216615617275
8.75,76.75,1943,1226.5909575521946
8.75,76.75,1944,744.2885141521692
8.75,76.75,1945,926.1191577985883
8.75,76.75,1946,1233.9954838007689
8.75,76.75,1947,1653.081937789917
8.75,76.75,1948,1337.2678513675928
8.75,76.75,1949,1370.2663190960884
8.75,76.75,1950,1339.6077455952764
8.75,76.75,1951,1190.1980590224266
8.75,76.75,1952,750.869759850204
8.75,76.75,1953,1077.3597434610128
8.75,76.75,1954,1008.6423910707235
8.75,76.75,1955,1176.6852660626173
8.75,76.75,1956,1132.1610005125403
8.75,76.75,1957,1337.572898864746
8.75,76.75,1958,1357.5100265592337
8.75,76.75,1959,1750.843995243311
8.75,76.75,1960,1506.3562460318208
8.75,76.75,1961,2108.922477558255
8.75,76.75,1962,1466.1236299052835
8.75,76.75,1963,1241.5586742460728
8.75,76.75,1964,1101.083069384098
8.75,76.75,1965,891.3643405139446
8.75,76.75,1966,1198.3729197233915
8.75,76.75,1967,1189.7833248972893
8.75,76.75,1968,1856.9307958558202
8.75,76.75,1969,979.320296600461
8.75,76.75,1970,994.0929131582379
8.75,76.75,1971,1328.2209362611175
8.75,76.75,1972,851.3021617978811
8.75,76.75,1973,1565.2534463703632
8.75,76.75,1974,1378.3767830207944
8.75,76.75,1975,1203.4963735938072
8.75,76.75,1976,523.435599014163
8.75,76.75,1977,684.0128062143922
8.75,76.75,1978,698.4477687031031
8.75,76.75,1979,785.3262402787805
8.75,76.75,1980,631.1501009613276
8.75,76.75,1981,638.3270807340741
8.75,76.75,1982,324.98593202233315
8.75,76.75,1983,245.50887051224709
8.75,76.75,1984,474.1262430995703
8.75,76.75,1985,495.6729537770152
8.75,76.75,1986,576.4450638890266
8.75,76.75,1987,367.9284503310919
8.75,76.75,1988,981.5027601569891
8.75,76.75,1989,1034.7965774163604
8.75,76.75,1990,631.4476432651281
8.75,76.75,1991,1533.3332345187664
8.75,76.75,1992,1211.7350521534681
8.75,76.75,1993,890.4964087754488
8.75,76.75,1994,1038.7579923123121
8.75,76.75,1995,856.2963468804955
8.75,76.75,1996,1007.9870838224888
8.75,76.75,1997,1191.0558386445045
8.75,76.75,1998,964.2171100974083
8.75,76.75,1999,1327.8920251876116
8.75,76.75,2000,1144.697608679533
8.75,76.75,2001,1027.8264812082052
8.75,76.75,2002,523.5068453550339
8.75,76.75,2003,473.2987247109413
8.75,76.75,2004,848.5201532691717
8.75,76.75,2005,1027.696531869471
8.75,76.75,2006,1200.0072317123413
8.75,76.75,2007,1042.467052295804
8.75,76.75,2008,947.1627705097198
8.75,76.75,2009,865.8936730325222
8.75,76.75,2010,931.0335226356983
8.75,76.75,2011,851.9401324540377
8.75,76.75,2012,703.0938406214118
8.75,76.75,2013,1342.9945827051997
8.75,76.75,2014,1069.4950543493032
8.75,76.75,2015,901.5333082973957
8.75,76.75,2016,690.4381473883986
8.75,76.75,2017,945.3064838051796
8.75,76.75,2018,1218.0638339146972
8.75,76.75,2019,1115.9521688222885
8.75,76.75,2020,1187.8254152610898
8.75,76.75,2021,961.1760407984257
8.75,76.75,2022,777.7798268347979
8.75,76.75,2023,1003.9386147521436
8.75,77.0,1901,574.3056256920099
8.75,77.0,1902,554.2955488413572
8.75,77.0,1903,603.8146823719144
8.75,77.0,1904,813.9929633438587
8.75,77.0,1905,667.4563867151737
8.75,77.0,1906,720.297228962183
8.75,77.0,1907,945.1551221609116
8.75,77.0,1908,633.4391765445471
8.75,77.0,1909,434.3285873681307
8.75,77.0,1910,685.0078090578318
8.75,77.0,1911,722.4804500639439
8.75,77.0,1912,885.6934539079666
8.75,77.0,1913,650.968456313014
8.75,77.0,1914,889.769903331995
8.75,77.0,1915,1074.8019493073225
8.75,77.0,1916,739.4420099258423
8.75,77.0,1917,542.811592489481
8.75,77.0,1918,371.50624322891235
8.75,77.0,1919,771.1004232466221
8.75,77.0,1920,924.9088379219174
8.75,77.0,1921,613.0000466406345
8.75,77.0,1922,708.4832893013954
8.75,77.0,1923,1064.8457407057285
8.75,77.0,1924,1500.9732038527727
8.75,77.0,1925,614.0702597945929
8.75,77.0,1926,832.8201431035995
8.75,77.0,1927,773.805192142725
8.75,77.0,1928,523.6213360801339
8.75,77.0,1929,946.7515947520733
8.75,77.0,1930,658.3959957361221
8.75,77.0,1931,942.5976181924343
8.75,77.0,1932,538.1555577665567
8.75,77.0,1933,1205.9056199938059
8.75,77.0,1934,499.3747216463089
8.75,77.0,1935,536.5957295447588
8.75,77.0,1936,842.2345999032259
8.75,77.0,1937,452.57726034522057
8.75,77.0,1938,582.5842442139983
8.75,77.0,1939,719.640665769577
8.75,77.0,1940,825.6924319118261
8.75,77.0,1941,855.0702764242887
8.75,77.0,1942,694.3184669464827
8.75,77.0,1943,807.6257252320647
8.75,77.0,1944,543.3181882724166
8.75,77.0,1945,636.4958521574736
8.75,77.0,1946,711.5137220174074
8.75,77.0,1947,824.6583476811647
8.75,77.0,1948,654.1357897669077
8.75,77.0,1949,680.6403775215149
8.75,77.0,1950,787.2485202997923
8.75,77.0,1951,597.6091378778219
8.75,77.0,1952,443.24309577047825
8.75,77.0,1953,1824.5914826989174
8.75,77.0,1954,2094.9458511173725
